Word,Frequency,PMI,R_Entropy,L_Entropy
思,140,80,5.787124308109439,5.012084687160697
美,140,80,5.25450706899673,5.493351604729044
戒,139,80,4.369315187722194,4.867882531278958
镈,139,80,4.277876280174591,5.054145324322766
庄,139,80,3.7101588056192747,5.747545193594917
韶,137,80,4.989773784903635,4.636660177854379
丘,137,80,4.850965888063401,4.150816100235071
告,137,80,4.559023340282922,5.223720806406346
徒,136,80,5.797526228372836,4.463100380816662
牲,136,80,4.818170067683182,3.806980463658195
胜,136,80,4.785020576049907,5.195331287705956
第,136,80,3.8443676276105325,5.85722660028569
适,135,80,5.651195297478846,5.522029180179321
昔,135,80,5.6384392306257745,3.081596845389061
越,135,80,5.421422797537181,5.498246630699659
加,135,80,5.14935137779185,5.704221338190489
耳,135,80,5.119193642862921,5.285176549619999
释,135,80,4.045463317255913,5.887177412877249
要,135,80,3.229999512382462,5.72268777491887
信,134,80,5.078978947130746,5.400722992840749
编,134,80,2.6307194658666657,5.3982204254782555
旅,133,80,5.282720851524206,4.376291677055808
彻,133,80,4.97659748185881,4.569931008531233
室,132,80,5.178495651219281,5.009277139785394
家,131,80,5.935044593527743,4.969346743833774
州,131,80,5.6955740253007505,5.343686920044416
交,131,80,5.087744613808839,5.280216048578152
旋,131,80,4.289752429936925,5.283288699630764
冕,129,80,3.6543708660828407,5.274931875393437
车,128,80,5.456463185858794,5.624772347838211
坐,128,80,5.454728702990615,5.101216512722226
诚,128,80,5.357712231801633,5.294691087682109
近,128,80,4.897294721786382,5.638537392001957
卑,127,80,4.713190919136108,4.423366265840072
崇,127,80,4.104262319919485,4.518638563615598
废,126,80,5.522761913102531,5.042864319713204
殿,125,80,4.386133313214205,4.946388828020227
贤,124,80,4.989389759322737,5.34246790476035
咏,124,80,4.7054419043672535,3.9343396789617966
归,123,80,5.27518913258165,5.489586582734642
帅,123,80,4.274334267586045,4.774275052132774
虡,122,80,5.429300512563345,4.213918234622094
隋,121,80,4.840721064840142,5.704563855905246
浊,121,80,4.837954178419217,3.5803154307219858
弹,121,80,4.809606899946359,5.80749017239238
永,121,80,4.581304577814846,4.353890068785707
职,121,80,4.5421735910779555,2.4413994635819614
卦,121,80,3.8349728982577274,3.304277510055174
孟,121,80,2.527854918898806,5.711825709054258
我,120,80,5.552609574964317,5.627961960500376
播,120,80,2.837354984637189,4.721084192459835
望,119,80,5.779314970612448,4.629987809350953
深,118,80,5.226118891291741,4.603630701185405
康,118,80,4.17415232000962,4.356275207362678
推,117,80,3.426474615094908,5.506616022260762
秦,116,80,5.5175363951683005,5.823820132395752
吉,116,80,3.658890818100303,5.252330497620635
引,115,80,5.852838069045066,5.885683125336161
爱,115,80,4.910903121936713,5.166804564787837
拜,115,80,4.823182230664988,4.047655588733195
身,114,80,5.2873270747950025,4.432799260987871
海,114,80,5.2086760198584034,4.018840865188206
量,114,80,5.202824064672069,3.8445351026334516
庶,114,80,4.742779504697207,5.0178953207563675
匏,114,80,3.6114820146207043,4.957347196508933
簧,113,80,5.59782187020639,4.09871708058357
着,113,80,5.270845666335858,5.103988914536503
柷,113,80,3.269949804804953,4.8549594711611865
尧,113,80,3.089569293065725,5.377424261738293
况,112,80,6.069594292744288,5.39511393679488
修,112,80,5.435111509983828,5.348332193718436
彼,112,80,5.0561450581140654,5.1441338868179685
孰,112,80,2.926649551286228,5.051023892861511
且,111,80,5.986959004567808,5.548741758625186
客,111,80,4.887571258835425,3.6574710092515983
雷,109,80,4.979424719392929,5.130050087890604
统,109,80,4.910223090031975,4.468225700984606
振,109,80,4.096856721012631,5.073723258579274
指,108,80,5.725506360647039,4.6869963002361095
恶,108,80,5.076847912051564,5.091140577650158
竽,108,80,4.55092889830933,4.855663579871852
冠,107,80,5.745865818055526,5.738021770389755
孙,107,80,5.492923318070618,5.395143158363335
穷,107,80,5.181653469554178,5.379496369592542
辞,106,80,5.636697501957532,4.896365583307139
李,106,80,5.236259522635398,5.68766980393449
喜,106,80,4.58801592451328,5.488053266212056
述,104,80,5.508823845199391,5.440417960375929
业,104,80,5.01865872156029,4.794422528429614
田,104,80,4.900483668085103,5.030194163407331
胥,104,80,4.767466976036875,2.362492441896989
素,104,80,4.73455673385175,5.393160045243601
忧,104,80,4.539650888281394,5.26201471839285
皮,104,80,4.306185000292823,4.615042699785682
吾,103,80,5.527431808879789,4.995291146495919
厚,103,80,5.3054422012123,5.164730387168221
短,103,80,5.229791063754712,4.459966354705667
弓,103,80,3.736364727902304,3.890139731473074
柔,102,80,4.767013921422652,3.9583201540703836
典,102,80,4.620859370098893,5.075868574952212
寓,102,80,4.012409540652178,4.685295657880382
祠,101,80,5.532508725308062,5.12951245855252
佾,101,80,4.4672911733715415,2.045782075496991
季,101,80,4.321141090966804,5.765472558397649
星,101,80,4.019187425480491,4.565812969799766
笛,100,80,5.394583843647015,5.127941799120884
迎,100,80,4.385232919203187,5.438002446171118
亡,100,80,4.3728049674615415,5.39981990983565
戯,99,80,5.68130714862169,5.0589840178774175
卫,99,80,4.559452085978526,4.6261236312713345
开,99,80,3.452944373999231,5.3721135429844225
问,98,80,5.018826948116273,4.641712554968141
益,98,80,4.249792758092767,4.49137120159945
赐,97,80,5.137291161971388,5.454618162498465
嘉,97,80,4.903237302133882,5.427081628284786
兆,97,80,4.737901525898491,4.192363609380325
虚,97,80,4.710629690916349,4.81667843212061
川,97,80,4.627419716540787,2.2864450900575752
池,96,80,4.884673393973416,2.8264450744520153
凶,96,80,4.593813693393864,4.42380228848422
景,96,80,4.1567639076437,5.345168977179219
邦,96,80,2.80644069272257,4.38832919705205
火,95,80,5.298469800513899,4.773789487896647
守,95,80,5.2520298251739925,5.223369850847856
